Zeit                    	USER1           
               0        	            2,53
            0,01        	            2,05
            0,02        	            2,49
            0,03        	            2,65
            0,04        	            2,59
            0,05        	           2,745
            0,06        	            2,78
            0,07        	            2,22
            0,08        	           2,215
            0,09        	            2,39
             0,1        	            2,49
            0,11        	           2,445
            0,12        	           2,535
            0,13        	           2,805
            0,14        	            2,25
            0,15        	            2,55
            0,16        	            2,49
            0,17        	            2,79
            0,18        	           2,955
            0,19        	           2,825
             0,2        	           2,255
            0,21        	            2,63
            0,22        	           2,575
            0,23        	           2,505
            0,24        	           3,075
            0,25        	            2,71
            0,26        	            2,54
            0,27        	           2,605
            0,28        	           2,855
            0,29        	            2,67
             0,3        	            2,62
            0,31        	           2,675
            0,32        	            2,71
            0,33        	             2,6
            0,34        	           2,425
            0,35        	             2,5
            0,36        	            2,43
            0,37        	            2,64
            0,38        	           2,285
            0,39        	           2,225
             0,4        	            2,73
            0,41        	            2,31
            0,42        	            2,49
            0,43        	            3,12
            0,44        	           2,665
            0,45        	           2,605
            0,46        	           2,385
            0,47        	           2,375
            0,48        	           2,615
            0,49        	            2,73
             0,5        	           2,345
            0,51        	           2,345
            0,52        	            2,48
            0,53        	           2,905
            0,54        	            2,84
            0,55        	           2,645
            0,56        	            2,55
            0,57        	           2,505
            0,58        	           2,475
            0,59        	            2,26
             0,6        	            2,62
            0,61        	            2,85
            0,62        	            2,73
            0,63        	           2,665
            0,64        	            2,52
            0,65        	            2,78
            0,66        	            2,55
            0,67        	             2,2
            0,68        	           2,035
            0,69        	            2,61
             0,7        	            2,73
            0,71        	            2,69
            0,72        	            2,64
            0,73        	            2,12
            0,74        	           2,205
            0,75        	           2,565
            0,76        	           3,065
            0,77        	            2,52
            0,78        	            2,17
            0,79        	             2,4
             0,8        	           2,665
            0,81        	           2,925
            0,82        	            2,38
            0,83        	           2,595
            0,84        	            2,11
            0,85        	           2,625
            0,86        	           2,685
            0,87        	            2,57
            0,88        	           2,565
            0,89        	            2,22
             0,9        	           2,495
            0,91        	           2,925
            0,92        	           2,635
            0,93        	           2,395
            0,94        	            2,38
            0,95        	           2,455
            0,96        	            3,13
            0,97        	            2,79
            0,98        	            2,25
            0,99        	           2,555
               1        	           2,785
            1,01        	           2,575
            1,02        	           2,985
            1,03        	            2,58
            1,04        	            2,37
            1,05        	             2,2
            1,06        	            2,37
            1,07        	           2,755
            1,08        	           2,905
            1,09        	           2,625
             1,1        	           2,485
            1,11        	            2,03
            1,12        	            2,61
            1,13        	           2,585
            1,14        	           2,925
            1,15        	           2,995
            1,16        	            2,79
            1,17        	           2,615
            1,18        	           2,185
            1,19        	            2,63
             1,2        	            2,88
            1,21        	           2,615
            1,22        	            2,45
            1,23        	            2,11
            1,24        	            2,49
            1,25        	            2,45
            1,26        	           2,835
            1,27        	           2,645
            1,28        	           2,395
            1,29        	           2,315
             1,3        	            2,66
            1,31        	           2,865
            1,32        	            2,57
            1,33        	           2,105
            1,34        	           2,555
            1,35        	            3,06
            1,36        	            2,74
            1,37        	           2,675
            1,38        	            2,22
            1,39        	           2,625
             1,4        	            3,11
            1,41        	            2,42
            1,42        	           2,025
            1,43        	            2,37
            1,44        	            3,03
            1,45        	           2,825
            1,46        	           2,725
            1,47        	           2,195
            1,48        	            2,53
            1,49        	            2,95
             1,5        	           2,855
            1,51        	           2,515
            1,52        	            2,29
            1,53        	           2,495
            1,54        	            2,87
            1,55        	            2,54
            1,56        	           2,265
            1,57        	           3,085
            1,58        	            2,58
            1,59        	           2,705
             1,6        	            2,37
            1,61        	           2,935
            1,62        	            2,24
            1,63        	            2,45
            1,64        	            2,52
            1,65        	            2,56
            1,66        	            2,74
            1,67        	            2,31
            1,68        	            2,46
            1,69        	           2,395
             1,7        	           2,485
            1,71        	            2,46
            1,72        	           2,205
            1,73        	           2,875
            1,74        	            2,45
            1,75        	           2,575
            1,76        	           2,795
            1,77        	            2,18
            1,78        	           2,485
            1,79        	            2,73
             1,8        	             2,3
            1,81        	           2,905
            1,82        	           2,395
            1,83        	           2,345
            1,84        	            2,64
            1,85        	           2,205
            1,86        	           2,585
            1,87        	            2,59
            1,88        	           2,395
            1,89        	           2,955
             1,9        	             2,4
            1,91        	            2,74
            1,92        	           2,955
            1,93        	             2,1
            1,94        	           2,935
            1,95        	            2,74
            1,96        	            2,36
            1,97        	           2,605
            1,98        	            2,58
            1,99        	           2,625
               2        	           2,965
            2,01        	           2,285
            2,02        	           2,615
            2,03        	            2,48
            2,04        	           2,015
            2,05        	           2,685
            2,06        	           2,785
            2,07        	            2,05
            2,08        	           2,725
            2,09        	            2,58
             2,1        	            2,57
            2,11        	           2,565
            2,12        	            2,19
            2,13        	            2,59
            2,14        	           2,615
            2,15        	            2,52
            2,16        	            3,08
            2,17        	           2,275
            2,18        	            2,44
            2,19        	            2,63
             2,2        	           2,275
            2,21        	            2,71
            2,22        	             2,5
            2,23        	            2,22
            2,24        	            2,97
            2,25        	            2,44
            2,26        	           2,645
            2,27        	            2,59
            2,28        	            2,93
            2,29        	            2,29
             2,3        	            2,47
            2,31        	           2,905
            2,32        	           2,415
            2,33        	            2,08
            2,34        	            2,79
            2,35        	             2,8
            2,36        	            2,59
            2,37        	             2,4
            2,38        	           2,805
            2,39        	           2,675
             2,4        	            2,23
            2,41        	           2,605
            2,42        	           2,825
            2,43        	           2,585
            2,44        	           2,415
            2,45        	            2,64
            2,46        	            2,82
            2,47        	            2,79
            2,48        	           2,235
            2,49        	            2,71
             2,5        	            3,13
            2,51        	           2,555
            2,52        	            2,31
            2,53        	           2,685
            2,54        	            2,97
            2,55        	            2,59
            2,56        	             2,2
            2,57        	           2,475
            2,58        	            2,81
            2,59        	           2,385
             2,6        	             2,5
            2,61        	           2,615
            2,62        	            2,64
            2,63        	            2,32
            2,64        	            2,49
            2,65        	           2,705
            2,66        	            2,64
            2,67        	            2,51
            2,68        	           2,315
            2,69        	            2,72
             2,7        	           2,645
            2,71        	            2,47
            2,72        	             2,6
            2,73        	           2,825
            2,74        	            2,59
            2,75        	           2,575
            2,76        	            2,63
            2,77        	            3,06
            2,78        	             2,4
            2,79        	            2,03
             2,8        	           2,595
            2,81        	            2,85
            2,82        	            2,55
            2,83        	           2,265
            2,84        	           2,735
            2,85        	            2,83
            2,86        	             2,5
            2,87        	           2,545
            2,88        	             2,8
            2,89        	            2,69
             2,9        	           2,135
            2,91        	           2,785
            2,92        	           2,825
            2,93        	            2,67
            2,94        	            2,43
            2,95        	             2,9
            2,96        	            2,68
            2,97        	           2,135
            2,98        	            2,69
            2,99        	             2,9
               3        	           2,605
            3,01        	           2,285
            3,02        	            2,42
            3,03        	           3,105
            3,04        	            2,72
            3,05        	            2,09
            3,06        	           2,705
            3,07        	            2,57
            3,08        	           2,475
            3,09        	           2,415
             3,1        	            2,74
            3,11        	            2,64
            3,12        	           2,115
            3,13        	           2,455
            3,14        	           2,955
            3,15        	            2,65
            3,16        	            2,19
            3,17        	            2,65
            3,18        	            2,72
            3,19        	            2,22
             3,2        	           2,675
            3,21        	            3,01
            3,22        	           2,335
            3,23        	           2,495
            3,24        	            2,94
            3,25        	           2,535
            3,26        	           2,385
            3,27        	           2,865
            3,28        	            2,57
            3,29        	            2,24
             3,3        	           2,765
            3,31        	            2,83
            3,32        	           2,125
            3,33        	           2,725
            3,34        	            2,58
            3,35        	            2,56
            3,36        	             2,7
            3,37        	            2,79
            3,38        	           2,515
            3,39        	            2,36
             3,4        	           2,805
            3,41        	           2,645
            3,42        	            2,33
            3,43        	            2,72
            3,44        	           2,525
            3,45        	            2,15
            3,46        	            2,78
            3,47        	            2,61
            3,48        	           2,525
            3,49        	            2,53
             3,5        	            2,51
            3,51        	            2,17
            3,52        	           2,515
            3,53        	             2,8
            3,54        	             2,6
            3,55        	           2,455
            3,56        	            2,79
            3,57        	            2,53
            3,58        	            2,34
            3,59        	           2,715
             3,6        	            2,77
            3,61        	           2,285
            3,62        	           2,545
            3,63        	            2,69
            3,64        	           2,625
            3,65        	             2,4
            3,66        	            2,93
            3,67        	           2,535
            3,68        	            2,54
            3,69        	           2,825
             3,7        	            2,71
            3,71        	            2,19
            3,72        	            2,81
            3,73        	            2,47
            3,74        	           2,265
            3,75        	           2,435
            3,76        	            2,79
            3,77        	            2,37
            3,78        	            2,42
            3,79        	            2,97
             3,8        	            2,52
            3,81        	           2,505
            3,82        	            2,98
            3,83        	            2,62
            3,84        	             2,2
            3,85        	            2,85
            3,86        	           2,625
            3,87        	            2,47
            3,88        	           2,845
            3,89        	           2,515
             3,9        	           2,065
            3,91        	           2,675
            3,92        	           2,885
            3,93        	           2,485
            3,94        	           2,355
            3,95        	            2,95
            3,96        	           2,525
            3,97        	           2,425
            3,98        	            2,88
            3,99        	           2,525
               4        	            2,52
            4,01        	            3,18
            4,02        	             2,4
            4,03        	           2,445
            4,04        	             3,1
            4,05        	            2,73
            4,06        	            2,48
            4,07        	           2,905
            4,08        	            2,98
            4,09        	           2,305
             4,1        	            2,72
            4,11        	           2,565
            4,12        	           2,485
            4,13        	            3,13
            4,14        	            2,57
            4,15        	            2,83
            4,16        	            2,28
            4,17        	             2,5
            4,18        	            2,65
            4,19        	           2,425
             4,2        	           2,695
            4,21        	            2,97
            4,22        	           2,425
            4,23        	            2,68
            4,24        	           2,605
            4,25        	           2,325
            4,26        	            2,65
            4,27        	            2,64
            4,28        	            2,42
            4,29        	            3,09
             4,3        	           2,465
            4,31        	           2,425
            4,32        	           2,995
            4,33        	           2,705
            4,34        	           2,725
            4,35        	           2,525
            4,36        	           3,005
            4,37        	            2,24
            4,38        	           2,645
            4,39        	            2,49
             4,4        	             2,2
            4,41        	           2,715
            4,42        	           2,515
            4,43        	            3,13
            4,44        	           2,355
            4,45        	           2,325
            4,46        	            2,79
            4,47        	           2,385
            4,48        	           2,945
            4,49        	           2,225
             4,5        	            2,64
            4,51        	            2,59
            4,52        	            2,27
            4,53        	           2,545
            4,54        	             2,7
            4,55        	           2,275
            4,56        	           2,635
            4,57        	           2,705
            4,58        	            2,55
            4,59        	            2,08
             4,6        	            2,92
            4,61        	           2,485
            4,62        	            2,36
            4,63        	           2,995
            4,64        	            2,42
            4,65        	            2,45
            4,66        	            2,56
            4,67        	            2,15
