Zeit                    	USER1           
               0        	            2,53
            0,01        	           2,125
            0,02        	           2,115
            0,03        	            2,11
            0,04        	           1,765
            0,05        	           1,905
            0,06        	            2,11
            0,07        	            2,45
            0,08        	            2,31
            0,09        	            2,11
             0,1        	           2,035
            0,11        	            1,67
            0,12        	            2,92
            0,13        	            2,59
            0,14        	            2,14
            0,15        	            1,75
            0,16        	            1,92
            0,17        	           2,105
            0,18        	            2,43
            0,19        	            2,53
             0,2        	           2,425
            0,21        	           2,255
            0,22        	            1,73
            0,23        	           1,885
            0,24        	            2,52
            0,25        	            2,72
            0,26        	            1,73
            0,27        	           1,745
            0,28        	            2,63
            0,29        	               3
             0,3        	           1,845
            0,31        	            1,73
            0,32        	           2,585
            0,33        	           2,995
            0,34        	           1,765
            0,35        	           1,725
            0,36        	           1,795
            0,37        	           2,815
            0,38        	            2,49
            0,39        	           2,145
             0,4        	           1,705
            0,41        	            2,06
            0,42        	            1,99
            0,43        	           2,485
            0,44        	           2,785
            0,45        	            2,73
            0,46        	           2,265
            0,47        	           1,705
            0,48        	           2,215
            0,49        	           2,605
             0,5        	            2,31
            0,51        	           2,165
            0,52        	           1,875
            0,53        	           2,375
            0,54        	           2,885
            0,55        	            2,58
            0,56        	           2,035
            0,57        	            1,78
            0,58        	            2,38
            0,59        	           2,205
             0,6        	           1,695
            0,61        	            2,33
            0,62        	            2,62
            0,63        	            1,84
            0,64        	            2,18
            0,65        	           2,455
            0,66        	               3
            0,67        	             2,3
            0,68        	            2,13
            0,69        	            1,68
             0,7        	           2,335
            0,71        	           2,625
            0,72        	            2,99
            0,73        	            2,26
            0,74        	           2,265
            0,75        	           1,715
            0,76        	           2,445
            0,77        	           2,995
            0,78        	           2,485
            0,79        	            2,08
             0,8        	            2,17
            0,81        	           2,495
            0,82        	           2,295
            0,83        	            2,98
            0,84        	            2,32
            0,85        	           1,855
            0,86        	            2,13
            0,87        	           2,945
            0,88        	            2,57
            0,89        	            2,13
             0,9        	            1,79
            0,91        	            2,45
            0,92        	           2,875
            0,93        	            2,46
            0,94        	            2,08
            0,95        	            1,88
            0,96        	           2,535
            0,97        	            3,02
            0,98        	            2,47
            0,99        	           2,095
               1        	            1,75
            1,01        	           2,285
            1,02        	             2,6
            1,03        	            2,97
            1,04        	            2,45
            1,05        	            2,13
            1,06        	           1,825
            1,07        	            2,32
            1,08        	            2,59
            1,09        	            2,94
             1,1        	           2,655
            1,11        	            2,21
            1,12        	             1,7
            1,13        	            1,83
            1,14        	            2,47
            1,15        	            2,63
            1,16        	           2,935
            1,17        	           2,445
            1,18        	           2,145
            1,19        	           2,005
             1,2        	           2,525
            1,21        	            2,78
            1,22        	           2,655
            1,23        	            2,18
            1,24        	            1,92
            1,25        	            2,09
            1,26        	             2,5
            1,27        	            2,97
            1,28        	            2,31
            1,29        	           1,995
             1,3        	           2,155
            1,31        	           2,645
            1,32        	            2,87
            1,33        	           2,255
            1,34        	            1,72
            1,35        	             2,4
            1,36        	             2,9
            1,37        	            2,35
            1,38        	            1,97
            1,39        	           1,755
             1,4        	             2,5
            1,41        	            2,95
            1,42        	            2,26
            1,43        	           1,705
            1,44        	            2,35
            1,45        	           2,605
            1,46        	           2,735
            1,47        	           2,065
            1,48        	           1,705
            1,49        	           2,285
             1,5        	           2,465
            1,51        	           2,625
            1,52        	            2,29
            1,53        	            1,61
            1,54        	           2,295
            1,55        	           2,615
            1,56        	           2,395
            1,57        	           2,475
            1,58        	           2,075
            1,59        	           2,925
             1,6        	            2,71
            1,61        	            2,47
            1,62        	            2,08
            1,63        	           3,005
            1,64        	            2,46
            1,65        	           2,605
            1,66        	            2,32
            1,67        	           2,115
            1,68        	             2,9
            1,69        	           1,765
             1,7        	            2,99
            1,71        	            2,08
            1,72        	           2,265
            1,73        	            2,59
            1,74        	            1,69
            1,75        	            2,86
            1,76        	            2,19
            1,77        	            2,14
            1,78        	            2,91
            1,79        	            1,83
             1,8        	           2,455
            1,81        	           2,545
            1,82        	             1,9
            1,83        	           2,615
            1,84        	           2,235
            1,85        	           2,145
            1,86        	           2,695
            1,87        	           1,885
            1,88        	           2,515
            1,89        	           2,575
             1,9        	            1,72
            1,91        	           2,945
            1,92        	            2,28
            1,93        	           2,165
            1,94        	            2,66
            1,95        	           1,695
            1,96        	            2,19
            1,97        	           2,955
            1,98        	            1,74
            1,99        	            2,62
               2        	           2,425
            2,01        	             2,1
            2,02        	            2,94
            2,03        	            2,22
            2,04        	            2,13
            2,05        	            3,03
            2,06        	               2
            2,07        	           2,175
            2,08        	           2,545
            2,09        	           1,725
             2,1        	            2,91
            2,11        	            2,28
            2,12        	           2,205
            2,13        	           2,975
            2,14        	           1,735
            2,15        	            2,73
            2,16        	           2,265
            2,17        	           2,025
            2,18        	           2,915
            2,19        	            2,15
             2,2        	            2,08
            2,21        	            2,96
            2,22        	           1,955
            2,23        	           2,265
            2,24        	           2,625
            2,25        	           1,655
            2,26        	           2,475
            2,27        	            2,98
            2,28        	           2,255
            2,29        	            2,23
             2,3        	            1,89
            2,31        	           2,545
            2,32        	            3,02
            2,33        	            2,13
            2,34        	            1,67
            2,35        	            2,58
            2,36        	           2,975
            2,37        	            2,16
            2,38        	           2,375
            2,39        	           3,085
             2,4        	           2,345
            2,41        	            1,72
            2,42        	            2,63
            2,43        	               3
            2,44        	           2,195
            2,45        	           1,765
            2,46        	            2,44
            2,47        	            2,94
            2,48        	             2,2
            2,49        	           1,755
             2,5        	            2,52
            2,51        	           2,965
            2,52        	            2,22
            2,53        	            1,59
            2,54        	            2,39
            2,55        	           2,965
            2,56        	           2,125
            2,57        	             1,9
            2,58        	           2,595
            2,59        	           2,555
             2,6        	            2,09
            2,61        	            1,83
            2,62        	            2,61
            2,63        	            2,46
            2,64        	            1,84
            2,65        	           2,225
            2,66        	           2,695
            2,67        	             2,4
            2,68        	            1,98
            2,69        	           2,135
             2,7        	            2,78
            2,71        	           2,505
            2,72        	           1,865
            2,73        	            2,18
            2,74        	            2,74
            2,75        	           2,455
            2,76        	            1,75
            2,77        	           2,495
            2,78        	            2,94
            2,79        	           2,095
             2,8        	           1,775
            2,81        	           2,645
            2,82        	           2,885
            2,83        	            2,08
            2,84        	           1,885
            2,85        	            2,59
            2,86        	            2,49
            2,87        	           1,735
            2,88        	           2,505
            2,89        	            2,65
             2,9        	            2,08
            2,91        	            2,14
            2,92        	            2,68
            2,93        	           2,545
            2,94        	            2,06
            2,95        	           2,315
            2,96        	            3,08
            2,97        	             2,3
            2,98        	           1,835
            2,99        	           2,465
               3        	           2,965
            3,01        	            2,24
            3,02        	            1,73
            3,03        	            2,57
            3,04        	           2,985
            3,05        	             2,1
            3,06        	           1,985
            3,07        	           2,525
            3,08        	            2,51
            3,09        	           2,075
             3,1        	            2,36
            3,11        	            2,89
            3,12        	            2,24
            3,13        	           1,805
            3,14        	            2,48
            3,15        	            2,76
            3,16        	            2,22
            3,17        	            1,72
            3,18        	            2,57
            3,19        	           2,315
             3,2        	            1,69
            3,21        	           2,615
            3,22        	           2,575
            3,23        	            1,74
            3,24        	           2,405
            3,25        	           2,675
            3,26        	            2,15
            3,27        	            2,23
            3,28        	           2,955
            3,29        	           2,155
             3,3        	           2,135
            3,31        	            2,53
            3,32        	           2,215
            3,33        	            1,89
            3,34        	            2,63
            3,35        	            2,41
            3,36        	            1,77
            3,37        	           2,565
            3,38        	            2,61
            3,39        	            1,98
             3,4        	            2,36
            3,41        	           2,945
            3,42        	            2,08
            3,43        	            2,22
            3,44        	            2,99
            3,45        	            2,12
            3,46        	            2,02
            3,47        	           2,985
            3,48        	           2,145
            3,49        	            2,01
             3,5        	            2,73
            3,51        	            2,29
            3,52        	            1,78
            3,53        	           2,545
            3,54        	             2,8
            3,55        	            2,21
            3,56        	            2,47
            3,57        	            2,96
            3,58        	            2,05
            3,59        	           2,255
             3,6        	           2,945
            3,61        	           2,225
            3,62        	            1,74
            3,63        	            2,63
            3,64        	           2,505
            3,65        	           1,795
            3,66        	           2,485
            3,67        	            2,76
            3,68        	           1,775
            3,69        	           2,475
             3,7        	            3,11
            3,71        	            2,18
            3,72        	            2,22
            3,73        	           2,975
            3,74        	           2,325
            3,75        	           1,825
            3,76        	            2,62
            3,77        	           2,435
            3,78        	            1,76
            3,79        	            2,61
             3,8        	            2,57
            3,81        	             1,8
            3,82        	           2,425
            3,83        	            2,87
            3,84        	            2,09
            3,85        	            2,29
            3,86        	           2,995
            3,87        	            2,08
            3,88        	           2,155
            3,89        	           3,025
             3,9        	            2,14
            3,91        	            1,91
            3,92        	           2,665
            3,93        	            2,52
            3,94        	            1,79
            3,95        	            2,42
            3,96        	            2,44
            3,97        	           1,685
            3,98        	           2,555
            3,99        	            2,55
               4        	            1,75
            4,01        	            2,46
            4,02        	           2,805
            4,03        	            2,02
            4,04        	            2,44
            4,05        	            2,91
            4,06        	            2,07
            4,07        	           2,495
            4,08        	            2,53
            4,09        	            2,22
             4,1        	            2,11
            4,11        	            2,83
            4,12        	           1,705
            4,13        	           2,495
            4,14        	            2,36
            4,15        	           1,855
            4,16        	           2,445
            4,17        	            1,67
            4,18        	             2,5
            4,19        	           2,165
             4,2        	           1,695
            4,21        	           2,475
            4,22        	           2,405
            4,23        	            1,83
            4,24        	           2,675
            4,25        	             2,2
            4,26        	           2,015
            4,27        	           2,855
            4,28        	            1,89
            4,29        	            2,38
             4,3        	            2,56
            4,31        	           1,905
            4,32        	            2,35
            4,33        	             2,5
            4,34        	           1,605
            4,35        	            1,66
            4,36        	            2,36
            4,37        	           2,015
            4,38        	           2,115
            4,39        	            2,87
             4,4        	           2,055
            4,41        	            2,94
            4,42        	           1,975
            4,43        	           2,435
            4,44        	            2,62
            4,45        	             1,7
            4,46        	           2,445
            4,47        	           1,945
            4,48        	            2,47
            4,49        	            2,29
             4,5        	           1,615
            4,51        	           2,585
            4,52        	            2,21
            4,53        	           2,225
            4,54        	           2,955
            4,55        	           1,845
            4,56        	           2,935
            4,57        	           1,805
            4,58        	            2,98
            4,59        	            2,12
             4,6        	             2,2
            4,61        	           2,975
            4,62        	           2,075
            4,63        	            2,41
            4,64        	            2,68
            4,65        	           1,765
            4,66        	           2,655
            4,67        	            2,21
            4,68        	           2,365
            4,69        	           2,745
             4,7        	            1,81
            4,71        	            2,58
            4,72        	            2,29
            4,73        	            1,84
            4,74        	           2,685
            4,75        	           2,225
            4,76        	           2,345
            4,77        	           3,125
            4,78        	            2,16
            4,79        	           2,395
             4,8        	           3,075
            4,81        	           1,895
            4,82        	            2,65
            4,83        	           2,635
            4,84        	           1,795
            4,85        	            2,71
            4,86        	            2,56
            4,87        	           2,255
            4,88        	            3,12
            4,89        	           2,155
             4,9        	             2,6
            4,91        	            2,45
            4,92        	           1,915
            4,93        	            3,05
            4,94        	            2,26
            4,95        	           2,305
            4,96        	           3,065
            4,97        	            1,82
            4,98        	            2,62
            4,99        	             2,5
               5        	            1,95
            5,01        	           2,905
            5,02        	             2,2
            5,03        	            2,18
            5,04        	           3,035
            5,05        	           2,245
            5,06        	            2,44
            5,07        	            2,86
            5,08        	           1,875
            5,09        	           2,585
             5,1        	           2,605
            5,11        	           1,755
            5,12        	            2,72
            5,13        	            2,51
            5,14        	            1,85
            5,15        	           2,655
            5,16        	           2,195
            5,17        	           2,105
            5,18        	           2,955
            5,19        	           2,055
             5,2        	            2,42
            5,21        	            2,55
            5,22        	            1,81
            5,23        	           2,775
            5,24        	            2,26
            5,25        	            2,09
            5,26        	            2,95
            5,27        	            2,06
            5,28        	            2,51
            5,29        	            2,65
             5,3        	           1,765
            5,31        	            2,52
            5,32        	           2,505
            5,33        	            1,62
            5,34        	           2,895
            5,35        	           2,275
            5,36        	             1,8
            5,37        	            2,82
            5,38        	            1,57
            5,39        	             2,6
             5,4        	            1,92
            5,41        	            2,34
            5,42        	           2,595
            5,43        	           1,635
            5,44        	            2,42
            5,45        	           2,235
            5,46        	           1,655
            5,47        	            2,81
            5,48        	            2,01
            5,49        	           2,295
             5,5        	           2,605
            5,51        	            1,56
            5,52        	            2,84
            5,53        	            2,11
            5,54        	            2,02
            5,55        	            2,89
            5,56        	           1,565
            5,57        	            2,82
            5,58        	            1,94
            5,59        	           2,275
             5,6        	            2,57
            5,61        	            1,56
            5,62        	           2,465
            5,63        	           2,105
            5,64        	            1,97
            5,65        	            2,86
            5,66        	            1,93
            5,67        	            2,42
            5,68        	           1,975
            5,69        	           2,265
             5,7        	           2,315
            5,71        	           1,555
            5,72        	            2,47
            5,73        	            1,92
            5,74        	            2,37
            5,75        	           2,375
            5,76        	           1,645
            5,77        	            2,76
            5,78        	           1,635
            5,79        	           2,395
             5,8        	            2,27
            5,81        	            1,77
            5,82        	            2,82
            5,83        	           1,565
            5,84        	           2,815
            5,85        	            1,92
            5,86        	           2,355
            5,87        	            2,05
            5,88        	            2,14
            5,89        	           2,875
             5,9        	           1,975
            5,91        	           2,385
            5,92        	           2,355
            5,93        	            1,62
            5,94        	            2,74
            5,95        	           1,995
            5,96        	           2,395
            5,97        	             2,1
            5,98        	            2,13
            5,99        	           2,875
               6        	            1,77
            6,01        	            2,83
            6,02        	           2,115
            6,03        	            2,56
            6,04        	           2,785
            6,05        	            1,77
            6,06        	           2,885
            6,07        	            2,13
            6,08        	            2,49
            6,09        	            2,51
             6,1        	            2,12
            6,11        	           3,075
            6,12        	           1,845
            6,13        	            2,65
            6,14        	           2,275
            6,15        	            2,53
            6,16        	            2,42
            6,17        	            2,09
            6,18        	            2,97
            6,19        	           1,775
             6,2        	           3,005
            6,21        	           2,375
            6,22        	            2,59
            6,23        	            2,67
            6,24        	            1,89
            6,25        	             3,1
            6,26        	           2,225
            6,27        	            2,73
            6,28        	            2,39
            6,29        	            2,44
             6,3        	           3,175
            6,31        	           1,805
            6,32        	            2,78
            6,33        	           2,355
            6,34        	           2,555
            6,35        	           2,635
            6,36        	            2,42
            6,37        	           2,845
            6,38        	           1,945
            6,39        	           2,825
             6,4        	            2,28
            6,41        	           2,555
            6,42        	            2,86
            6,43        	           1,975
            6,44        	            2,74
            6,45        	            2,45
            6,46        	           2,485
            6,47        	            2,66
            6,48        	           1,915
            6,49        	           3,105
             6,5        	            1,83
            6,51        	            2,83
            6,52        	            2,25
            6,53        	           2,575
            6,54        	            2,67
            6,55        	           1,875
            6,56        	            2,97
            6,57        	           1,985
            6,58        	           3,085
            6,59        	            2,28
             6,6        	            2,61
            6,61        	            2,63
            6,62        	           2,055
            6,63        	           3,035
            6,64        	           1,855
            6,65        	            2,67
            6,66        	            2,22
            6,67        	            2,54
            6,68        	            2,55
            6,69        	            2,01
             6,7        	           3,155
            6,71        	             2,2
            6,72        	           2,795
            6,73        	            2,38
            6,74        	            2,29
            6,75        	            2,65
            6,76        	           2,255
            6,77        	           2,385
            6,78        	            2,61
            6,79        	           1,815
             6,8        	            3,04
            6,81        	            2,11
            6,82        	            2,42
            6,83        	            2,45
            6,84        	           2,175
            6,85        	           2,875
            6,86        	           1,695
            6,87        	           2,885
            6,88        	            2,98
            6,89        	            1,67
             6,9        	             2,8
            6,91        	            2,29
            6,92        	           2,205
            6,93        	            2,16
            6,94        	            2,16
            6,95        	            2,45
            6,96        	            1,75
            6,97        	            2,93
            6,98        	           2,135
            6,99        	           2,405
               7        	            2,11
            7,01        	            2,01
            7,02        	            2,48
            7,03        	           1,665
            7,04        	            2,74
            7,05        	            1,58
            7,06        	           2,365
            7,07        	           1,975
            7,08        	            2,14
            7,09        	           2,705
             7,1        	           1,535
            7,11        	            2,43
            7,12        	            1,92
            7,13        	            2,33
            7,14        	             2,3
            7,15        	           1,675
            7,16        	           2,595
            7,17        	            1,56
            7,18        	           2,675
            7,19        	           1,875
             7,2        	            2,18
            7,21        	           2,255
            7,22        	            1,63
            7,23        	           2,665
            7,24        	           1,705
            7,25        	            2,34
            7,26        	           2,105
            7,27        	            2,27
            7,28        	           1,985
            7,29        	           1,805
             7,3        	            2,67
            7,31        	            1,72
            7,32        	           2,345
            7,33        	            1,83
            7,34        	           2,295
            7,35        	            2,11
            7,36        	           2,045
            7,37        	            2,46
            7,38        	           1,745
            7,39        	           2,705
             7,4        	            1,67
            7,41        	           2,865
            7,42        	            1,84
            7,43        	            2,45
            7,44        	           2,025
            7,45        	           2,355
            7,46        	            2,36
            7,47        	           2,255
            7,48        	             2,4
            7,49        	           1,595
             7,5        	           2,525
            7,51        	             2,1
            7,52        	           2,285
            7,53        	           2,335
            7,54        	           1,835
            7,55        	            2,85
            7,56        	             1,6
            7,57        	            2,79
            7,58        	            1,61
            7,59        	           2,575
             7,6        	           2,145
            7,61        	            2,82
            7,62        	           2,215
            7,63        	           2,565
            7,64        	            2,35
            7,65        	             2,5
            7,66        	            2,56
            7,67        	            2,28
            7,68        	            2,66
            7,69        	           2,135
             7,7        	            3,11
            7,71        	           1,825
            7,72        	           2,985
            7,73        	           2,205
            7,74        	            2,63
            7,75        	            2,38
            7,76        	           2,595
            7,77        	             2,4
            7,78        	            2,38
            7,79        	            2,62
             7,8        	            2,14
            7,81        	           3,245
            7,82        	           2,075
            7,83        	           2,955
            7,84        	            2,45
            7,85        	            2,91
            7,86        	           2,475
            7,87        	           2,855
            7,88        	            2,46
            7,89        	           2,565
             7,9        	           2,955
            7,91        	            2,26
            7,92        	            3,27
            7,93        	           2,085
            7,94        	            3,29
            7,95        	           2,145
            7,96        	            3,22
            7,97        	           2,055
            7,98        	           2,965
            7,99        	           2,475
               8        	           2,755
            8,01        	            2,86
            8,02        	            2,51
            8,03        	            3,04
            8,04        	           2,395
            8,05        	            3,14
            8,06        	            2,11
            8,07        	             3,2
            8,08        	            2,08
            8,09        	            3,36
             8,1        	            2,19
            8,11        	            3,33
            8,12        	            2,52
            8,13        	               3
            8,14        	            2,57
            8,15        	            2,73
            8,16        	           2,705
            8,17        	            2,81
            8,18        	           2,815
            8,19        	            2,55
             8,2        	           3,155
            8,21        	            2,22
            8,22        	             3,3
            8,23        	           2,115
            8,24        	            3,33
            8,25        	            2,52
            8,26        	           2,855
            8,27        	             2,5
            8,28        	            2,78
            8,29        	           2,625
             8,3        	            2,88
            8,31        	            2,83
            8,32        	           2,635
            8,33        	           2,785
            8,34        	           2,635
            8,35        	           2,825
            8,36        	           2,485
            8,37        	            2,84
            8,38        	           2,455
            8,39        	           3,005
             8,4        	           2,285
            8,41        	            3,06
            8,42        	           2,105
            8,43        	           3,215
            8,44        	             2,6
            8,45        	           2,735
            8,46        	           2,465
            8,47        	            2,59
            8,48        	            2,11
            8,49        	           3,175
             8,5        	           1,935
            8,51        	           3,105
            8,52        	           2,305
            8,53        	           2,825
            8,54        	           2,455
            8,55        	            2,43
            8,56        	            2,35
            8,57        	           2,735
            8,58        	           2,375
            8,59        	            2,81
             8,6        	             2,5
            8,61        	           2,375
            8,62        	           2,245
            8,63        	           2,425
            8,64        	            2,27
            8,65        	            2,45
            8,66        	            2,24
            8,67        	           2,615
            8,68        	             2,2
            8,69        	            2,66
             8,7        	           2,265
            8,71        	           2,485
            8,72        	            2,12
            8,73        	            2,43
            8,74        	            2,48
            8,75        	            2,04
            8,76        	           2,295
            8,77        	            2,21
            8,78        	            2,71
            8,79        	            1,85
             8,8        	           2,965
            8,81        	            1,62
            8,82        	            2,62
            8,83        	             1,4
            8,84        	            2,73
            8,85        	           1,485
            8,86        	           2,715
            8,87        	            1,45
            8,88        	            2,68
            8,89        	           1,465
             8,9        	           2,585
            8,91        	           1,555
            8,92        	           2,615
            8,93        	           1,575
            8,94        	           2,625
            8,95        	            1,87
            8,96        	            1,86
            8,97        	           2,375
            8,98        	           1,895
            8,99        	           2,265
               9        	           2,085
            9,01        	           2,005
            9,02        	            1,68
            9,03        	            2,02
            9,04        	            1,72
            9,05        	           1,955
            9,06        	           1,735
            9,07        	           2,095
            9,08        	            1,59
            9,09        	           2,055
             9,1        	           1,785
            9,11        	            2,06
            9,12        	            1,55
            9,13        	            2,14
            9,14        	            1,62
            9,15        	            2,08
            9,16        	            1,51
            9,17        	            2,23
            9,18        	            1,59
            9,19        	           2,175
             9,2        	           1,555
            9,21        	            2,15
            9,22        	            1,44
            9,23        	           2,335
            9,24        	           1,205
            9,25        	           2,455
            9,26        	           1,175
            9,27        	            2,44
            9,28        	           1,205
            9,29        	           2,405
             9,3        	            1,23
            9,31        	           2,365
            9,32        	            1,45
            9,33        	           2,135
            9,34        	           1,675
            9,35        	           2,085
            9,36        	            1,69
            9,37        	           1,695
            9,38        	           1,965
            9,39        	           1,685
             9,4        	            1,94
            9,41        	            1,74
            9,42        	            2,21
            9,43        	            1,67
            9,44        	             2,1
            9,45        	            1,71
            9,46        	           2,205
            9,47        	            1,21
            9,48        	           2,615
            9,49        	           1,365
             9,5        	             2,5
            9,51        	            1,41
            9,52        	           2,525
            9,53        	            1,35
            9,54        	            2,23
            9,55        	             1,7
            9,56        	            2,59
            9,57        	            1,28
            9,58        	           2,595
            9,59        	            1,34
             9,6        	           2,655
            9,61        	           1,615
            9,62        	            2,43
            9,63        	           1,935
            9,64        	            2,28
            9,65        	            2,29
            9,66        	           2,225
            9,67        	           2,305
            9,68        	           2,075
            9,69        	           2,225
             9,7        	            2,04
            9,71        	            2,31
            9,72        	           1,945
            9,73        	           2,305
            9,74        	           1,845
            9,75        	           2,365
            9,76        	           1,875
            9,77        	            2,64
            9,78        	           1,565
            9,79        	           2,755
             9,8        	            1,53
            9,81        	            3,02
            9,82        	           1,785
            9,83        	            2,96
            9,84        	            2,21
            9,85        	            2,68
            9,86        	            2,35
            9,87        	            2,29
            9,88        	             2,7
            9,89        	            2,29
             9,9        	            2,58
            9,91        	            2,38
            9,92        	           2,535
            9,93        	            2,25
            9,94        	           2,545
            9,95        	           2,325
            9,96        	           2,825
            9,97        	           2,105
            9,98        	            2,71
            9,99        	            2,12
              10        	            2,59
