Echtzeit	Simulationszeit	USER1
29-5-2013 16:41:50	      0.00000	        2.705
29-5-2013 16:41:50	      0.01000	         2.56
29-5-2013 16:41:50	      0.02000	         2.84
29-5-2013 16:41:50	      0.03000	         2.45
29-5-2013 16:41:50	      0.04000	         3.19
29-5-2013 16:41:50	      0.05000	        2.305
29-5-2013 16:41:50	      0.06000	         3.05
29-5-2013 16:41:50	      0.07000	          2.4
29-5-2013 16:41:50	      0.08000	         3.06
29-5-2013 16:41:50	      0.09000	        2.635
29-5-2013 16:41:50	      0.10000	         2.75
29-5-2013 16:41:50	      0.11000	        2.675
29-5-2013 16:41:51	      0.12000	          2.6
29-5-2013 16:41:51	      0.13000	        2.625
29-5-2013 16:41:51	      0.14000	         2.55
29-5-2013 16:41:51	      0.15000	         2.95
29-5-2013 16:41:51	      0.16000	        2.435
29-5-2013 16:41:51	      0.17000	            3
29-5-2013 16:41:51	      0.18000	         2.42
29-5-2013 16:41:51	      0.19000	         3.24
29-5-2013 16:41:51	      0.20000	         2.43
29-5-2013 16:41:51	      0.21000	         2.88
29-5-2013 16:41:51	      0.22000	         2.95
29-5-2013 16:41:51	      0.23000	        2.625
29-5-2013 16:41:51	      0.24000	         2.94
29-5-2013 16:41:51	      0.25000	        2.555
29-5-2013 16:41:51	      0.26000	        3.195
29-5-2013 16:41:51	      0.27000	         2.28
29-5-2013 16:41:51	      0.28000	        3.065
29-5-2013 16:41:51	      0.29000	         2.87
29-5-2013 16:41:51	      0.30000	         2.67
29-5-2013 16:41:51	      0.31000	         2.87
29-5-2013 16:41:51	      0.32000	        2.775
29-5-2013 16:41:51	      0.33000	         3.03
29-5-2013 16:41:51	      0.34000	         2.56
29-5-2013 16:41:51	      0.35000	        3.325
29-5-2013 16:41:51	      0.36000	         2.44
29-5-2013 16:41:51	      0.37000	         3.29
29-5-2013 16:41:51	      0.38000	         2.89
29-5-2013 16:41:51	      0.39000	         2.94
29-5-2013 16:41:51	      0.40000	        2.875
29-5-2013 16:41:51	      0.41000	        3.005
29-5-2013 16:41:51	      0.42000	        2.755
29-5-2013 16:41:51	      0.43000	         2.98
29-5-2013 16:41:51	      0.44000	         3.11
29-5-2013 16:41:51	      0.45000	         2.52
29-5-2013 16:41:51	      0.46000	         3.45
29-5-2013 16:41:52	      0.47000	         3.11
29-5-2013 16:41:52	      0.48000	        3.125
29-5-2013 16:41:52	      0.49000	         2.81
29-5-2013 16:41:52	      0.50000	         3.47
29-5-2013 16:41:52	      0.51000	         2.49
29-5-2013 16:41:52	      0.52000	        3.115
29-5-2013 16:41:52	      0.53000	        3.085
29-5-2013 16:41:52	      0.54000	         3.01
29-5-2013 16:41:52	      0.55000	          3.1
29-5-2013 16:41:52	      0.56000	        2.775
29-5-2013 16:41:52	      0.57000	         3.27
29-5-2013 16:41:52	      0.58000	        2.955
29-5-2013 16:41:52	      0.59000	        3.145
29-5-2013 16:41:52	      0.60000	        3.485
29-5-2013 16:41:52	      0.61000	        2.775
29-5-2013 16:41:52	      0.62000	         3.45
29-5-2013 16:41:52	      0.63000	        3.015
29-5-2013 16:41:52	      0.64000	         3.07
29-5-2013 16:41:52	      0.65000	        3.335
29-5-2013 16:41:52	      0.66000	         2.99
29-5-2013 16:41:52	      0.67000	        3.365
29-5-2013 16:41:52	      0.68000	            3
29-5-2013 16:41:52	      0.69000	         3.01
29-5-2013 16:41:52	      0.70000	         3.12
29-5-2013 16:41:52	      0.71000	         2.97
29-5-2013 16:41:52	      0.72000	        3.435
29-5-2013 16:41:52	      0.73000	        3.285
29-5-2013 16:41:52	      0.74000	        3.155
29-5-2013 16:41:52	      0.75000	        3.485
29-5-2013 16:41:52	      0.76000	        2.995
29-5-2013 16:41:52	      0.77000	          3.2
29-5-2013 16:41:53	      0.78000	        3.345
29-5-2013 16:41:53	      0.79000	         2.82
29-5-2013 16:41:53	      0.80000	         3.45
29-5-2013 16:41:53	      0.81000	         3.23
29-5-2013 16:41:53	      0.82000	        3.255
29-5-2013 16:41:53	      0.83000	         3.38
29-5-2013 16:41:53	      0.84000	        3.135
29-5-2013 16:41:53	      0.85000	          3.5
29-5-2013 16:41:53	      0.86000	         3.37
29-5-2013 16:41:53	      0.87000	        2.985
29-5-2013 16:41:53	      0.88000	         3.81
29-5-2013 16:41:53	      0.89000	          3.1
29-5-2013 16:41:53	      0.90000	        3.575
29-5-2013 16:41:53	      0.91000	         3.27
29-5-2013 16:41:53	      0.92000	        3.135
29-5-2013 16:41:53	      0.93000	        3.555
29-5-2013 16:41:53	      0.94000	         2.85
29-5-2013 16:41:53	      0.95000	         3.53
29-5-2013 16:41:53	      0.96000	        3.415
29-5-2013 16:41:53	      0.97000	         3.27
29-5-2013 16:41:53	      0.98000	        3.655
29-5-2013 16:41:53	      0.99000	         3.22
29-5-2013 16:41:53	      1.00000	        3.525
29-5-2013 16:41:53	      1.01000	        3.495
29-5-2013 16:41:53	      1.02000	         3.41
29-5-2013 16:41:53	      1.03000	         3.62
29-5-2013 16:41:53	      1.04000	         3.31
29-5-2013 16:41:53	      1.05000	        3.605
29-5-2013 16:41:53	      1.06000	         3.48
29-5-2013 16:41:53	      1.07000	         3.39
29-5-2013 16:41:53	      1.08000	        3.795
29-5-2013 16:41:53	      1.09000	        3.325
29-5-2013 16:41:54	      1.10000	        3.635
29-5-2013 16:41:54	      1.11000	         3.39
29-5-2013 16:41:54	      1.12000	         3.55
29-5-2013 16:41:54	      1.13000	        3.715
29-5-2013 16:41:54	      1.14000	         3.25
29-5-2013 16:41:54	      1.15000	        3.765
29-5-2013 16:41:54	      1.16000	        3.195
29-5-2013 16:41:54	      1.17000	        3.555
29-5-2013 16:41:54	      1.18000	         3.66
29-5-2013 16:41:54	      1.19000	         3.37
29-5-2013 16:41:54	      1.20000	         3.76
29-5-2013 16:41:54	      1.21000	         3.24
29-5-2013 16:41:54	      1.22000	        3.525
29-5-2013 16:41:54	      1.23000	         3.59
29-5-2013 16:41:54	      1.24000	         3.27
29-5-2013 16:41:54	      1.25000	         3.78
29-5-2013 16:41:54	      1.26000	         3.41
29-5-2013 16:41:54	      1.27000	        3.745
