Zeit                    	USER1           
               0        	            2,75
            0,02        	            2,72
            0,04        	            3,03
            0,06        	           3,455
            0,08        	            3,19
             0,1        	            3,06
            0,12        	           3,185
            0,14        	            3,05
            0,16        	           3,375
            0,18        	           3,275
             0,2        	           3,365
            0,22        	            3,09
            0,24        	           2,975
            0,26        	           3,195
            0,28        	            2,93
             0,3        	            2,95
            0,32        	           2,785
            0,34        	            2,79
            0,36        	           2,825
            0,38        	           2,665
             0,4        	            2,74
            0,42        	            2,98
            0,44        	           2,975
            0,46        	            3,11
            0,48        	            3,46
             0,5        	           3,195
            0,52        	            2,86
            0,54        	            3,18
            0,56        	            2,64
            0,58        	            2,88
             0,6        	           3,125
            0,62        	            3,02
            0,64        	           3,315
            0,66        	            3,04
            0,68        	           2,945
             0,7        	             2,7
            0,72        	            2,53
            0,74        	           2,815
            0,76        	            2,89
            0,78        	            3,35
             0,8        	            3,02
            0,82        	           2,875
            0,84        	            2,68
            0,86        	           2,555
            0,88        	            2,79
             0,9        	            2,83
            0,92        	           3,185
            0,94        	            2,92
            0,96        	            2,65
            0,98        	           2,925
               1        	           3,075
            1,02        	            2,95
            1,04        	           3,265
            1,06        	            2,93
            1,08        	           2,705
             1,1        	            2,67
            1,12        	            2,87
            1,14        	           3,445
            1,16        	           3,035
            1,18        	           2,515
             1,2        	           3,175
            1,22        	           3,365
            1,24        	           3,185
            1,26        	           2,985
            1,28        	           2,625
             1,3        	            2,95
            1,32        	           2,455
            1,34        	           2,785
            1,36        	           2,865
            1,38        	           2,775
             1,4        	           2,925
            1,42        	            3,16
            1,44        	           3,295
            1,46        	            3,05
            1,48        	           2,725
             1,5        	            3,01
            1,52        	            2,91
            1,54        	           2,815
            1,56        	           2,605
            1,58        	           3,005
             1,6        	            3,19
            1,62        	           3,445
            1,64        	           2,765
            1,66        	            2,82
            1,68        	            3,13
             1,7        	            3,37
            1,72        	            2,88
            1,74        	             2,7
            1,76        	           3,195
            1,78        	            3,44
             1,8        	             2,9
            1,82        	           3,105
            1,84        	           3,135
            1,86        	            2,53
            1,88        	            3,14
             1,9        	             3,2
            1,92        	             3,1
            1,94        	            2,96
            1,96        	           2,545
            1,98        	            2,94
               2        	            3,04
            2,02        	           3,295
            2,04        	           3,375
            2,06        	            3,01
            2,08        	           2,755
             2,1        	             2,7
            2,12        	            2,87
            2,14        	           2,875
            2,16        	            3,26
            2,18        	           3,265
             2,2        	            3,12
            2,22        	           2,665
            2,24        	            2,75
            2,26        	           3,125
            2,28        	             3,1
             2,3        	           3,245
            2,32        	            2,88
            2,34        	           2,955
            2,36        	            2,45
            2,38        	           2,775
             2,4        	            2,88
            2,42        	            3,58
            2,44        	            2,95
            2,46        	           2,795
            2,48        	           2,785
             2,5        	            2,81
            2,52        	           3,365
            2,54        	            3,26
            2,56        	           3,005
            2,58        	            2,58
             2,6        	           2,685
            2,62        	           2,855
            2,64        	           2,705
            2,66        	            2,96
            2,68        	           3,145
             2,7        	            3,49
            2,72        	            3,04
            2,74        	           3,125
            2,76        	            3,09
            2,78        	           2,475
             2,8        	           2,835
            2,82        	           2,985
            2,84        	            3,06
            2,86        	           3,395
            2,88        	            3,27
             2,9        	            3,01
            2,92        	           2,605
            2,94        	           2,975
            2,96        	            3,38
            2,98        	           3,145
               3        	            2,97
            3,02        	           3,005
            3,04        	           2,905
            3,06        	           3,045
            3,08        	             3,5
             3,1        	           3,055
            3,12        	           2,745
            3,14        	            3,36
            3,16        	           2,865
            3,18        	            3,29
             3,2        	           2,935
            3,22        	           3,095
            3,24        	            2,93
            3,26        	            2,87
            3,28        	             2,9
             3,3        	            2,62
            3,32        	            3,34
            3,34        	            2,55
            3,36        	            3,19
            3,38        	            2,88
             3,4        	            3,03
            3,42        	            3,01
            3,44        	           2,845
            3,46        	           3,065
            3,48        	            2,63
             3,5        	            3,34
            3,52        	            2,89
            3,54        	             3,1
            3,56        	            2,99
            3,58        	           3,105
             3,6        	           3,215
            3,62        	           2,895
            3,64        	            3,34
            3,66        	           2,955
            3,68        	           3,095
             3,7        	            3,02
            3,72        	            2,95
            3,74        	            3,15
            3,76        	            2,84
            3,78        	            3,21
             3,8        	            3,06
            3,82        	             2,8
            3,84        	            3,18
            3,86        	            2,77
            3,88        	           3,425
             3,9        	               3
            3,92        	           2,865
            3,94        	           3,345
            3,96        	            2,67
            3,98        	           3,045
               4        	            3,09
            4,02        	            2,81
            4,04        	            3,46
            4,06        	            2,69
            4,08        	            3,29
             4,1        	           2,645
            4,12        	            3,03
            4,14        	             2,8
            4,16        	            3,04
            4,18        	           2,855
             4,2        	            3,05
            4,22        	            3,09
            4,24        	            2,97
            4,26        	           3,095
            4,28        	           2,445
             4,3        	            3,15
            4,32        	            2,92
            4,34        	           3,235
            4,36        	            3,15
            4,38        	           3,175
             4,4        	            2,88
            4,42        	             2,7
            4,44        	            3,36
            4,46        	            3,01
            4,48        	           2,945
             4,5        	            3,09
            4,52        	            2,54
            4,54        	            3,18
            4,56        	           2,785
            4,58        	           3,135
             4,6        	            2,55
            4,62        	            2,88
            4,64        	            3,18
            4,66        	            2,82
            4,68        	           2,685
             4,7        	           3,015
            4,72        	           3,405
            4,74        	           3,025
            4,76        	            2,76
            4,78        	            3,05
             4,8        	            3,22
            4,82        	           2,845
            4,84        	           2,455
            4,86        	            2,83
            4,88        	            3,44
             4,9        	           3,125
