Zeit                    	USER1           
               0        	            2,34
            0,01        	            1,61
            0,02        	            1,62
            0,03        	           2,375
            0,04        	            2,15
            0,05        	           1,665
            0,06        	           1,195
            0,07        	            1,84
            0,08        	            2,49
            0,09        	           2,165
             0,1        	           1,975
            0,11        	            1,96
            0,12        	               2
            0,13        	           2,375
            0,14        	            1,59
            0,15        	            1,55
            0,16        	           1,515
            0,17        	           1,995
            0,18        	           1,205
            0,19        	           1,955
             0,2        	            2,08
            0,21        	           2,445
            0,22        	            2,41
            0,23        	            1,94
            0,24        	           2,365
            0,25        	           1,545
            0,26        	            1,94
            0,27        	            1,85
            0,28        	            1,87
            0,29        	           1,515
             0,3        	            1,55
            0,31        	           1,355
            0,32        	            1,26
            0,33        	           1,265
            0,34        	           1,985
            0,35        	            1,99
            0,36        	            1,69
            0,37        	            1,51
            0,38        	           1,995
            0,39        	           1,725
             0,4        	           1,515
            0,41        	           1,145
            0,42        	            1,51
            0,43        	           1,325
            0,44        	           1,925
            0,45        	           2,375
            0,46        	            1,83
            0,47        	            1,07
            0,48        	            1,77
            0,49        	            2,43
             0,5        	           1,925
            0,51        	           1,515
            0,52        	           1,335
            0,53        	            1,16
            0,54        	            2,02
            0,55        	           1,715
            0,56        	           1,155
            0,57        	           2,305
            0,58        	            2,31
            0,59        	             1,6
             0,6        	           1,185
            0,61        	             2,3
            0,62        	            1,55
            0,63        	           1,155
            0,64        	            1,99
            0,65        	            1,98
            0,66        	           2,015
            0,67        	            1,93
            0,68        	           1,715
            0,69        	            1,15
             0,7        	           2,365
            0,71        	            1,93
            0,72        	            1,89
            0,73        	            2,36
            0,74        	            1,86
            0,75        	            1,57
            0,76        	             1,9
            0,77        	            1,52
            0,78        	           1,275
            0,79        	            2,03
             0,8        	            2,23
            0,81        	            1,83
            0,82        	            1,55
            0,83        	           1,285
            0,84        	            1,57
            0,85        	           1,345
            0,86        	           1,605
            0,87        	            2,37
            0,88        	           1,895
            0,89        	           1,235
             0,9        	           1,825
            0,91        	           2,035
            0,92        	            2,25
            0,93        	            1,62
            0,94        	           1,305
            0,95        	            1,83
            0,96        	            2,37
            0,97        	           1,905
            0,98        	           1,555
            0,99        	            1,27
               1        	           1,725
            1,01        	             2,1
            1,02        	            2,48
            1,03        	            1,78
            1,04        	           1,575
            1,05        	           1,155
            1,06        	            1,53
            1,07        	           1,975
            1,08        	            2,37
            1,09        	            2,02
             1,1        	           1,565
            1,11        	            1,15
            1,12        	           1,825
            1,13        	           2,195
            1,14        	            2,25
            1,15        	           1,715
            1,16        	           1,505
            1,17        	            1,16
            1,18        	           1,665
            1,19        	           2,015
             1,2        	            2,21
            1,21        	           1,715
            1,22        	            1,39
            1,23        	            1,53
            1,24        	            1,92
            1,25        	            2,27
            1,26        	           1,905
            1,27        	            1,15
            1,28        	           1,815
            1,29        	           2,375
             1,3        	            1,89
            1,31        	            1,24
            1,32        	            1,66
            1,33        	            2,03
            1,34        	            2,24
            1,35        	            1,57
            1,36        	            1,15
            1,37        	            1,91
            1,38        	            2,45
            1,39        	           1,925
             1,4        	           1,595
            1,41        	           1,205
            1,42        	           1,915
            1,43        	           2,265
            1,44        	             1,9
            1,45        	            1,51
            1,46        	           1,485
            1,47        	           1,915
            1,48        	            2,37
            1,49        	           1,895
             1,5        	             1,5
            1,51        	            1,24
            1,52        	            1,91
            1,53        	            2,37
            1,54        	             1,9
            1,55        	           1,505
            1,56        	           1,505
            1,57        	           1,715
            1,58        	            2,01
            1,59        	            1,49
             1,6        	           2,435
            1,61        	           1,305
            1,62        	           1,915
            1,63        	            1,98
            1,64        	           1,385
            1,65        	           2,285
            1,66        	            1,65
            1,67        	           1,635
            1,68        	           2,025
            1,69        	           1,445
             1,7        	            2,37
            1,71        	            1,26
            1,72        	           1,925
