Zeit                    	USER1           
               0        	           3,825
            0,01        	           2,655
            0,02        	           3,045
            0,03        	           3,095
            0,04        	            2,67
            0,05        	           2,615
            0,06        	            4,08
            0,07        	            4,08
            0,08        	             3,2
            0,09        	           3,635
             0,1        	            3,66
            0,11        	           3,745
            0,12        	            4,06
            0,13        	           4,045
            0,14        	            4,15
            0,15        	           4,425
            0,16        	             4,1
            0,17        	            4,43
            0,18        	            3,99
            0,19        	            4,09
             0,2        	           3,555
            0,21        	            3,95
            0,22        	            3,38
            0,23        	            3,68
            0,24        	           3,995
            0,25        	            4,11
            0,26        	           4,405
            0,27        	            4,62
            0,28        	           4,335
            0,29        	            4,19
             0,3        	            3,77
            0,31        	            4,65
            0,32        	           4,945
            0,33        	             4,5
            0,34        	            3,91
            0,35        	            4,32
            0,36        	            4,63
            0,37        	            4,29
            0,38        	           4,165
            0,39        	           3,765
             0,4        	            4,16
            0,41        	           4,605
            0,42        	            5,01
            0,43        	           4,525
            0,44        	            4,15
            0,45        	            3,93
            0,46        	           4,625
            0,47        	            5,32
            0,48        	           5,725
            0,49        	           5,135
             0,5        	            4,69
            0,51        	            5,29
            0,52        	            5,17
            0,53        	            5,02
            0,54        	           4,715
            0,55        	           4,445
            0,56        	            5,25
            0,57        	            5,59
            0,58        	           4,755
            0,59        	           5,335
             0,6        	           5,655
            0,61        	           5,005
            0,62        	           4,455
            0,63        	            4,86
            0,64        	           4,725
            0,65        	            5,37
            0,66        	             4,9
            0,67        	            4,55
            0,68        	            5,29
            0,69        	           5,845
             0,7        	           5,175
            0,71        	            4,89
            0,72        	           4,485
            0,73        	           4,955
            0,74        	            4,53
            0,75        	            5,26
            0,76        	            5,65
            0,77        	            5,29
            0,78        	           4,975
            0,79        	            4,54
             0,8        	            5,73
            0,81        	            5,07
            0,82        	            4,88
            0,83        	            4,66
            0,84        	            5,22
            0,85        	            5,68
            0,86        	            5,58
            0,87        	            5,36
            0,88        	            5,71
            0,89        	             4,5
             0,9        	            5,25
            0,91        	           5,735
            0,92        	            5,06
            0,93        	           5,735
            0,94        	            5,16
            0,95        	            5,02
            0,96        	            4,55
            0,97        	            5,17
            0,98        	           5,375
            0,99        	            5,69
               1        	           5,405
            1,01        	           5,105
            1,02        	            4,87
            1,03        	            4,46
            1,04        	            4,83
            1,05        	           5,225
            1,06        	            5,62
            1,07        	            5,39
            1,08        	           4,975
            1,09        	            4,63
             1,1        	           4,735
            1,11        	           5,215
            1,12        	            5,45
            1,13        	             5,6
            1,14        	           5,105
            1,15        	            4,69
            1,16        	            4,61
            1,17        	            5,24
            1,18        	            5,67
            1,19        	            5,12
             1,2        	            4,88
            1,21        	            4,45
            1,22        	            5,03
            1,23        	            5,32
            1,24        	            5,72
            1,25        	            5,33
            1,26        	            5,01
            1,27        	           4,555
            1,28        	            5,13
            1,29        	           5,385
             1,3        	            5,43
            1,31        	           4,905
            1,32        	           4,525
            1,33        	            4,77
            1,34        	            5,22
            1,35        	            5,75
            1,36        	           5,305
            1,37        	            5,05
            1,38        	            4,49
            1,39        	            4,75
             1,4        	           5,225
            1,41        	           5,775
            1,42        	            5,11
            1,43        	           4,535
            1,44        	            4,93
            1,45        	           5,365
            1,46        	            5,72
            1,47        	           5,205
            1,48        	            4,87
            1,49        	            4,92
             1,5        	            5,42
            1,51        	            5,32
            1,52        	           4,885
            1,53        	            4,49
            1,54        	           5,205
            1,55        	           5,855
            1,56        	            4,91
            1,57        	            5,46
            1,58        	            4,54
            1,59        	            5,64
             1,6        	            4,71
            1,61        	            5,18
            1,62        	            5,22
            1,63        	           4,975
            1,64        	           5,375
            1,65        	            4,45
            1,66        	            5,32
            1,67        	           5,205
            1,68        	            4,95
            1,69        	           5,685
             1,7        	           4,745
            1,71        	           5,065
            1,72        	           5,295
            1,73        	           4,525
            1,74        	            5,77
            1,75        	           4,835
            1,76        	           5,045
            1,77        	            5,29
            1,78        	            4,48
            1,79        	            5,38
             1,8        	            5,09
            1,81        	            4,86
            1,82        	            5,76
            1,83        	            4,49
            1,84        	           5,225
            1,85        	             5,3
            1,86        	           4,935
            1,87        	            5,69
            1,88        	            4,91
            1,89        	           5,075
             1,9        	           5,335
            1,91        	            4,57
            1,92        	           5,685
            1,93        	           5,105
            1,94        	           5,045
            1,95        	            5,47
            1,96        	           4,505
            1,97        	            5,67
            1,98        	           5,125
            1,99        	           4,895
               2        	            5,69
            2,01        	            4,77
            2,02        	            5,15
            2,03        	            5,35
            2,04        	            4,54
            2,05        	           5,735
            2,06        	           5,075
            2,07        	            4,87
            2,08        	           5,705
            2,09        	             4,8
             2,1        	            5,02
            2,11        	            5,42
            2,12        	           4,575
            2,13        	            5,06
            2,14        	            5,44
            2,15        	            4,55
            2,16        	           5,135
            2,17        	           5,425
            2,18        	            4,41
            2,19        	             5,4
             2,2        	           5,205
            2,21        	            4,91
            2,22        	           5,505
            2,23        	            4,46
            2,24        	            5,21
            2,25        	           5,455
            2,26        	           4,455
            2,27        	            5,35
            2,28        	            5,29
            2,29        	           4,545
             2,3        	            4,94
            2,31        	           5,645
            2,32        	            5,28
            2,33        	             4,5
            2,34        	            5,22
            2,35        	            5,74
            2,36        	           5,025
            2,37        	           4,485
            2,38        	            5,16
            2,39        	            5,73
             2,4        	           4,995
            2,41        	             4,5
            2,42        	            5,17
            2,43        	           5,725
            2,44        	            5,05
            2,45        	           4,575
            2,46        	            5,27
            2,47        	           5,555
            2,48        	           4,765
            2,49        	            5,03
             2,5        	           5,745
            2,51        	            5,02
            2,52        	           4,525
            2,53        	           5,275
            2,54        	           5,475
            2,55        	           4,845
            2,56        	           4,895
            2,57        	            5,37
            2,58        	            5,33
            2,59        	            4,84
             2,6        	           5,045
            2,61        	           5,615
            2,62        	           5,055
            2,63        	           4,505
            2,64        	           5,305
            2,65        	            5,79
            2,66        	            5,06
            2,67        	           4,465
            2,68        	             5,3
            2,69        	           5,395
             2,7        	           4,925
            2,71        	           4,845
            2,72        	           5,445
            2,73        	           5,255
            2,74        	            4,54
            2,75        	           5,215
