Zeit                    ,USER1           
               0        ,           1.865
            0.01        ,            1.83
            0.02        ,           1.595
            0.03        ,            1.48
            0.04        ,            1.81
            0.05        ,            1.81
            0.06        ,            2.19
            0.07        ,            2.07
            0.08        ,           1.755
            0.09        ,           1.775
             0.1        ,            1.61
            0.11        ,           2.205
            0.12        ,            1.91
            0.13        ,           1.815
            0.14        ,            1.69
            0.15        ,           1.835
            0.16        ,            1.64
            0.17        ,            1.62
            0.18        ,            2.01
            0.19        ,            1.87
             0.2        ,            1.59
            0.21        ,            2.02
            0.22        ,           1.595
            0.23        ,            1.88
            0.24        ,            1.99
            0.25        ,            1.51
            0.26        ,            1.34
            0.27        ,            1.25
            0.28        ,           1.025
            0.29        ,            1.16
             0.3        ,           1.275
            0.31        ,            1.46
            0.32        ,           1.465
            0.33        ,           1.625
            0.34        ,            1.27
            0.35        ,            1.51
            0.36        ,            1.71
            0.37        ,            0.95
            0.38        ,               1
            0.39        ,            1.05
             0.4        ,            1.09
            0.41        ,           1.675
            0.42        ,           1.095
            0.43        ,           1.175
            0.44        ,           0.995
            0.45        ,            1.23
            0.46        ,            1.05
            0.47        ,           1.645
            0.48        ,            1.14
            0.49        ,           1.275
             0.5        ,            0.95
            0.51        ,           1.335
            0.52        ,           0.955
            0.53        ,           0.835
            0.54        ,           0.955
            0.55        ,           1.045
            0.56        ,             1.5
            0.57        ,           0.985
            0.58        ,            0.88
            0.59        ,            1.53
             0.6        ,            1.19
            0.61        ,            0.49
            0.62        ,             0.8
            0.63        ,            1.03
            0.64        ,           1.165
            0.65        ,           1.545
            0.66        ,             0.7
            0.67        ,           1.015
            0.68        ,            1.23
            0.69        ,           0.985
             0.7        ,            1.02
            0.71        ,            0.73
            0.72        ,            0.99
            0.73        ,            0.89
            0.74        ,           1.035
            0.75        ,            6.29
            0.76        ,           6.225
            0.77        ,           6.155
            0.78        ,            6.06
            0.79        ,            5.94
             0.8        ,            6.24
            0.81        ,               6
            0.82        ,           6.005
            0.83        ,           6.195
            0.84        ,            6.55
            0.85        ,           6.265
            0.86        ,            6.31
            0.87        ,           6.675
            0.88        ,           6.125
            0.89        ,            6.04
             0.9        ,            6.45
            0.91        ,           6.205
            0.92        ,           6.015
            0.93        ,            6.26
            0.94        ,            6.03
            0.95        ,            5.72
            0.96        ,           6.135
            0.97        ,             6.6
            0.98        ,           6.415
            0.99        ,            6.33
               1        ,            5.97
            1.01        ,           5.895
            1.02        ,            5.81
            1.03        ,           5.965
            1.04        ,            6.17
            1.05        ,            6.64
            1.06        ,            6.43
            1.07        ,             6.1
            1.08        ,            5.82
            1.09        ,            6.07
             1.1        ,            6.11
            1.11        ,            6.59
            1.12        ,            6.33
            1.13        ,           6.165
            1.14        ,            5.88
            1.15        ,           6.265
            1.16        ,           6.165
            1.17        ,           6.655
            1.18        ,            6.18
            1.19        ,            6.04
             1.2        ,            5.98
            1.21        ,            6.37
            1.22        ,           6.135
            1.23        ,            6.58
            1.24        ,           6.255
            1.25        ,           6.045
            1.26        ,            5.79
            1.27        ,           6.295
            1.28        ,           6.525
            1.29        ,           6.455
             1.3        ,            6.18
            1.31        ,             5.9
            1.32        ,           6.055
            1.33        ,           6.315
            1.34        ,            6.76
            1.35        ,            6.41
            1.36        ,            6.17
            1.37        ,            5.74
            1.38        ,           6.165
            1.39        ,            6.26
             1.4        ,            6.71
            1.41        ,            6.14
            1.42        ,           5.995
            1.43        ,           6.125
            1.44        ,           6.255
            1.45        ,           6.645
            1.46        ,            6.22
            1.47        ,            5.89
            1.48        ,            6.04
            1.49        ,            6.43
             1.5        ,           6.175
            1.51        ,            6.16
            1.52        ,            5.75
            1.53        ,           6.205
            1.54        ,            6.56
            1.55        ,            6.12
            1.56        ,            5.94
            1.57        ,            6.37
            1.58        ,           6.115
            1.59        ,           6.305
             1.6        ,            6.11
            1.61        ,            5.89
            1.62        ,            6.47
            1.63        ,            5.65
            1.64        ,           6.335
            1.65        ,            6.33
            1.66        ,           6.125
            1.67        ,            6.56
            1.68        ,            5.89
            1.69        ,           6.325
             1.7        ,            6.15
            1.71        ,            5.85
            1.72        ,            6.67
            1.73        ,           6.085
            1.74        ,           6.025
            1.75        ,            6.27
            1.76        ,            5.78
            1.77        ,            6.35
            1.78        ,           6.275
            1.79        ,           6.145
             1.8        ,            6.64
            1.81        ,            5.97
            1.82        ,            6.35
            1.83        ,           6.215
            1.84        ,            6.08
            1.85        ,           6.445
            1.86        ,           6.115
            1.87        ,            6.25
            1.88        ,            6.06
            1.89        ,            5.77
             1.9        ,           6.585
            1.91        ,           6.115
            1.92        ,            6.18
            1.93        ,           6.345
            1.94        ,           5.905
            1.95        ,            6.64
            1.96        ,            6.11
            1.97        ,           6.205
            1.98        ,            6.44
            1.99        ,            5.81
               2        ,           6.105
            2.01        ,            6.11
            2.02        ,            5.95
            2.03        ,            6.84
            2.04        ,           6.135
            2.05        ,           6.185
            2.06        ,            6.16
            2.07        ,            5.96
            2.08        ,           6.305
            2.09        ,           6.255
             2.1        ,           5.735
            2.11        ,            6.32
            2.12        ,            6.38
            2.13        ,           6.015
            2.14        ,            6.48
            2.15        ,            6.16
            2.16        ,           5.775
            2.17        ,            6.33
            2.18        ,           6.295
            2.19        ,           6.115
             2.2        ,           6.535
            2.21        ,           5.905
            2.22        ,            6.24
            2.23        ,           6.325
            2.24        ,            5.97
            2.25        ,           6.445
            2.26        ,           5.985
            2.27        ,           6.065
            2.28        ,           6.545
            2.29        ,           6.145
             2.3        ,            6.47
            2.31        ,            6.42
            2.32        ,           5.865
            2.33        ,           6.225
            2.34        ,            6.55
            2.35        ,            6.21
            2.36        ,            5.65
            2.37        ,               6
            2.38        ,           6.715
            2.39        ,            6.21
             2.4        ,           5.925
            2.41        ,            6.28
            2.42        ,            6.59
            2.43        ,            6.28
            2.44        ,           5.815
            2.45        ,           6.195
            2.46        ,           6.605
            2.47        ,            6.07
            2.48        ,           5.925
            2.49        ,           6.465
             2.5        ,             6.4
            2.51        ,           5.805
            2.52        ,            5.95
            2.53        ,            6.73
            2.54        ,            6.01
            2.55        ,            5.76
            2.56        ,            6.09
            2.57        ,            6.55
            2.58        ,           6.145
            2.59        ,               6
