Zeit                    	USER1           
            29,5        	           4,455
            29,6        	           4,425
            29,7        	            4,45
            29,8        	             4,4
            29,9        	           4,475
              30        	           4,355
            30,1        	           4,465
            30,2        	            4,45
            30,3        	           4,375
            30,4        	            4,44
            30,5        	            4,49
            30,6        	            4,49
            30,7        	            4,33
            30,8        	           4,355
            30,9        	           4,495
              31        	            4,49
            31,1        	            4,53
            31,2        	           4,445
            31,3        	            4,45
            31,4        	            4,35
            31,5        	            4,46
            31,6        	           4,395
            31,7        	           4,425
            31,8        	           4,385
            31,9        	           4,485
              32        	            4,47
            32,1        	           4,365
            32,2        	            4,46
            32,3        	             4,5
            32,4        	           4,425
            32,5        	            4,42
            32,6        	            4,43
            32,7        	            4,52
            32,8        	           4,465
            32,9        	            4,44
              33        	             4,4
            33,1        	            4,45
            33,2        	            4,49
            33,3        	            4,47
            33,4        	             4,5
            33,5        	            4,43
            33,6        	            4,43
            33,7        	            4,39
            33,8        	            4,51
            33,9        	            4,42
              34        	            4,34
            34,1        	           4,565
            34,2        	             4,4
            34,3        	           4,365
            34,4        	            4,47
            34,5        	           4,455
            34,6        	           4,445
            34,7        	            4,55
            34,8        	            4,47
            34,9        	           4,435
              35        	           4,415
            35,1        	           4,435
            35,2        	            4,42
            35,3        	           4,365
            35,4        	             4,5
            35,5        	            4,41
            35,6        	           4,385
            35,7        	            4,45
            35,8        	            4,44
            35,9        	           4,445
              36        	            4,31
            36,1        	           4,445
            36,2        	            4,45
            36,3        	             4,4
            36,4        	            4,35
            36,5        	             4,4
            36,6        	           4,415
            36,7        	           4,395
            36,8        	            4,39
            36,9        	            4,65
              37        	           4,445
            37,1        	           4,445
            37,2        	            4,41
            37,3        	            4,35
            37,4        	            4,55
            37,5        	            4,35
            37,6        	           4,365
            37,7        	            4,37
            37,8        	            4,46
            37,9        	            4,39
              38        	            4,47
            38,1        	            4,41
            38,2        	            4,35
            38,3        	           4,475
            38,4        	            4,43
            38,5        	             4,4
            38,6        	           4,465
            38,7        	           4,505
            38,8        	            4,39
            38,9        	             4,4
              39        	           4,435
            39,1        	           4,385
            39,2        	             4,4
            39,3        	           4,445
            39,4        	           4,415
            39,5        	           4,435
            39,6        	            4,35
            39,7        	           4,415
            39,8        	            4,44
            39,9        	            4,39
              40        	           3,465
