Zeit                    	USER1           
               0        	            2,81
             0,1        	            2,79
             0,2        	            2,82
             0,3        	           2,625
             0,4        	           2,675
             0,5        	            2,66
             0,6        	           2,645
             0,7        	           2,605
             0,8        	           2,495
             0,9        	           2,645
               1        	           2,585
             1,1        	            2,72
             1,2        	            2,73
             1,3        	           2,475
             1,4        	           2,785
             1,5        	            2,84
             1,6        	           2,635
             1,7        	           2,715
             1,8        	            2,66
             1,9        	            2,78
               2        	             2,8
             2,1        	            2,55
             2,2        	           2,445
             2,3        	            2,75
             2,4        	             2,7
             2,5        	           2,625
             2,6        	            2,65
             2,7        	           2,435
             2,8        	           2,485
             2,9        	            2,63
               3        	            2,76
             3,1        	           2,625
             3,2        	            2,44
             3,3        	            2,64
             3,4        	            2,81
             3,5        	            2,44
             3,6        	            2,64
             3,7        	           2,735
             3,8        	            2,65
             3,9        	            2,56
               4        	           2,645
             4,1        	           2,575
             4,2        	           2,655
             4,3        	            2,63
             4,4        	            2,65
             4,5        	            2,51
             4,6        	            2,53
             4,7        	            2,64
             4,8        	            2,83
             4,9        	            2,67
               5        	           2,575
             5,1        	           2,675
             5,2        	           2,715
             5,3        	            2,57
             5,4        	           2,875
             5,5        	            2,64
             5,6        	           2,685
             5,7        	           2,705
             5,8        	            2,75
             5,9        	            2,77
               6        	           2,835
             6,1        	            2,77
             6,2        	           2,785
             6,3        	           2,695
             6,4        	            2,85
             6,5        	            2,75
             6,6        	            2,77
             6,7        	           2,735
             6,8        	            2,78
             6,9        	            2,91
               7        	            2,92
             7,1        	            2,92
             7,2        	            2,76
             7,3        	            3,11
             7,4        	            3,11
             7,5        	            2,98
             7,6        	           3,015
             7,7        	            2,96
             7,8        	           2,845
             7,9        	           2,865
               8        	            3,03
             8,1        	           3,015
             8,2        	           2,985
             8,3        	           3,085
             8,4        	            2,97
             8,5        	            2,97
             8,6        	           3,055
             8,7        	           2,775
             8,8        	           3,115
             8,9        	           2,975
               9        	            3,08
             9,1        	           2,975
             9,2        	           3,065
             9,3        	           2,835
             9,4        	           2,975
             9,5        	           2,965
             9,6        	             2,9
             9,7        	           2,945
             9,8        	            2,78
             9,9        	           2,845
              10        	            3,02
            10,1        	             3,1
            10,2        	           2,945
            10,3        	            3,05
            10,4        	            2,95
            10,5        	           2,895
            10,6        	            2,74
            10,7        	             3,1
            10,8        	           2,935
            10,9        	            2,95
              11        	           2,865
            11,1        	            3,03
            11,2        	            3,12
            11,3        	           2,755
            11,4        	            3,12
            11,5        	            2,94
            11,6        	           2,935
            11,7        	            2,95
            11,8        	           2,755
            11,9        	           2,825
              12        	           2,825
            12,1        	           2,835
            12,2        	            3,06
            12,3        	           2,925
            12,4        	           2,965
            12,5        	           3,105
            12,6        	           2,955
            12,7        	            2,99
            12,8        	           2,995
            12,9        	           3,065
              13        	            3,02
            13,1        	           3,015
            13,2        	            3,14
            13,3        	           2,885
            13,4        	            2,97
            13,5        	            3,07
            13,6        	           3,095
            13,7        	           3,095
            13,8        	               3
            13,9        	           3,235
              14        	            3,04
            14,1        	            3,17
            14,2        	            3,27
            14,3        	            3,27
            14,4        	            3,11
            14,5        	           3,075
            14,6        	            3,44
            14,7        	           3,425
            14,8        	           3,295
            14,9        	           3,355
              15        	           3,345
            15,1        	            3,52
            15,2        	            3,43
            15,3        	           3,225
            15,4        	           3,575
            15,5        	           3,535
            15,6        	           3,615
            15,7        	             3,5
            15,8        	            3,62
            15,9        	           3,735
              16        	            3,61
            16,1        	             3,6
            16,2        	            3,65
            16,3        	            3,57
            16,4        	            3,59
            16,5        	            3,83
            16,6        	            3,51
            16,7        	           3,485
            16,8        	            3,69
            16,9        	            3,79
              17        	            3,71
            17,1        	           3,835
            17,2        	            3,56
            17,3        	           3,805
            17,4        	            3,74
            17,5        	           3,885
            17,6        	           3,695
            17,7        	           3,635
            17,8        	            3,64
            17,9        	            3,72
              18        	           3,965
            18,1        	            3,81
            18,2        	           3,705
            18,3        	            3,79
            18,4        	           4,015
            18,5        	               4
            18,6        	           3,945
            18,7        	           3,725
            18,8        	            4,02
            18,9        	            3,97
              19        	            3,88
            19,1        	           4,055
            19,2        	            4,05
            19,3        	            4,08
            19,4        	           3,915
            19,5        	           3,855
            19,6        	            3,88
            19,7        	           4,085
            19,8        	           3,955
            19,9        	           3,835
              20        	            3,91
            20,1        	             3,9
            20,2        	           3,985
            20,3        	           3,895
            20,4        	               4
            20,5        	            3,98
            20,6        	           3,795
            20,7        	           3,885
            20,8        	               4
            20,9        	            4,01
              21        	            3,75
            21,1        	               4
            21,2        	            3,77
            21,3        	            3,65
            21,4        	           3,915
            21,5        	           3,985
            21,6        	            3,89
            21,7        	           3,755
            21,8        	            3,81
            21,9        	            4,03
              22        	            4,06
            22,1        	            3,94
            22,2        	           4,025
            22,3        	            3,88
            22,4        	           3,885
            22,5        	           3,755
            22,6        	           4,055
            22,7        	            3,91
            22,8        	            3,83
            22,9        	            4,03
              23        	           4,075
            23,1        	           4,065
            23,2        	            3,73
            23,3        	           3,705
            23,4        	           3,895
            23,5        	           4,015
            23,6        	            3,88
            23,7        	           3,745
            23,8        	           3,965
            23,9        	            3,76
              24        	           3,915
            24,1        	             3,9
            24,2        	           4,025
            24,3        	           4,035
            24,4        	            4,08
            24,5        	           3,965
            24,6        	           3,755
            24,7        	           3,925
            24,8        	            3,94
            24,9        	            3,93
              25        	            3,81
            25,1        	           3,995
            25,2        	           4,155
            25,3        	           3,795
            25,4        	            4,02
            25,5        	           4,065
            25,6        	            3,95
            25,7        	           3,835
            25,8        	            3,82
            25,9        	           4,115
              26        	           3,925
            26,1        	            4,03
            26,2        	             3,9
            26,3        	            4,17
            26,4        	             3,8
            26,5        	            3,91
            26,6        	            3,81
            26,7        	           3,965
            26,8        	           4,085
            26,9        	           3,965
              27        	            4,07
            27,1        	            4,15
            27,2        	            3,93
            27,3        	           3,955
            27,4        	           3,885
            27,5        	           3,995
            27,6        	           3,885
            27,7        	           4,115
            27,8        	            3,99
            27,9        	           4,185
              28        	           3,975
            28,1        	            4,04
            28,2        	           3,995
            28,3        	            4,09
            28,4        	           3,875
            28,5        	            4,15
            28,6        	           3,835
            28,7        	            3,98
            28,8        	            3,95
            28,9        	               4
              29        	            3,79
            29,1        	            4,18
            29,2        	            3,88
            29,3        	           3,995
            29,4        	           3,855
            29,5        	            4,03
            29,6        	            4,18
            29,7        	           3,965
            29,8        	            3,84
            29,9        	            4,14
              30        	           3,995
            30,1        	           3,945
            30,2        	            3,95
            30,3        	           3,805
            30,4        	           3,995
            30,5        	            3,77
            30,6        	            3,97
            30,7        	            4,01
            30,8        	            3,83
            30,9        	            3,99
              31        	             4,1
            31,1        	            3,97
            31,2        	             3,8
            31,3        	           3,965
            31,4        	            4,07
            31,5        	           3,955
            31,6        	            3,96
            31,7        	            3,85
            31,8        	            3,81
            31,9        	           3,795
              32        	            4,03
            32,1        	            3,95
            32,2        	           3,975
            32,3        	           3,965
            32,4        	           4,055
            32,5        	            4,08
            32,6        	               4
            32,7        	           3,905
            32,8        	            4,13
            32,9        	           4,105
              33        	            4,14
            33,1        	            3,98
            33,2        	           3,915
            33,3        	            4,02
            33,4        	           4,095
            33,5        	            3,99
            33,6        	             3,9
            33,7        	            4,17
            33,8        	           4,155
            33,9        	            4,01
              34        	           4,095
            34,1        	           4,135
            34,2        	           3,985
            34,3        	           3,975
            34,4        	            4,18
            34,5        	            3,85
            34,6        	           4,005
            34,7        	            4,12
            34,8        	            3,97
            34,9        	            4,09
              35        	           4,135
            35,1        	             3,9
            35,2        	               4
            35,3        	           4,095
            35,4        	            4,16
            35,5        	           4,005
            35,6        	            4,05
            35,7        	            4,05
            35,8        	            4,18
            35,9        	           4,045
              36        	            3,98
            36,1        	           4,105
            36,2        	           4,075
            36,3        	            4,13
            36,4        	            4,17
            36,5        	            3,81
            36,6        	            4,02
            36,7        	            4,02
            36,8        	            4,03
            36,9        	            4,09
              37        	           3,965
            37,1        	           3,855
            37,2        	           3,995
            37,3        	            4,15
            37,4        	           4,165
            37,5        	           4,215
            37,6        	            3,87
            37,7        	           3,855
            37,8        	           3,875
            37,9        	            4,01
              38        	           4,115
            38,1        	            4,02
            38,2        	           4,155
            38,3        	            4,17
            38,4        	            3,82
            38,5        	           3,995
            38,6        	           3,975
            38,7        	            4,06
            38,8        	           4,045
            38,9        	            4,22
              39        	           4,025
            39,1        	            3,93
            39,2        	           4,065
            39,3        	           3,975
            39,4        	            4,17
            39,5        	           4,125
            39,6        	            4,15
            39,7        	           4,245
            39,8        	            3,89
            39,9        	            4,04
              40        	           3,805
